Date,Tick,Close,Polarity,News
2016-09-20,Q,77.47,0.0,0
2016-09-21,Q,78.0,0.0,0
2016-09-22,Q,78.13,0.0,1
2016-09-23,Q,79.41,0.0,0
2016-09-24,Q,79.2666666667,0.0,0
2016-09-25,Q,79.1233333333,0.0,0
2016-09-26,Q,78.98,0.0,0
2016-09-27,Q,79.7,0.0,1
2016-09-28,Q,79.57,0.0,0
2016-09-29,Q,79.06,0.0,0
2016-09-30,Q,81.06,0.0,0
2016-10-01,Q,80.7733333333,0.0,0
2016-10-02,Q,80.4866666667,0.0,0
2016-10-03,Q,80.2,-0.999999000001,1
2016-10-04,Q,78.79,0.0,0
2016-10-05,Q,80.54,0.999999000001,1
2016-10-06,Q,79.27,0.9999995,1
2016-10-07,Q,79.46,0.0,0
2016-10-08,Q,79.5766666667,0.0,0
2016-10-09,Q,79.6933333333,0.0,0
2016-10-10,Q,79.81,0.0,0
2016-10-11,Q,77.23,0.0,0
2016-10-12,Q,75.89,-0.999999000001,1
2016-10-13,Q,75.7,0.0,1
2016-10-14,Q,75.34,0.999999000001,1
2016-10-15,Q,75.32,0.0,0
2016-10-16,Q,75.3,0.0,0
2016-10-17,Q,75.28,0.0,0
2016-10-18,Q,76.33,0.333333222222,1
2016-10-19,Q,75.21,0.0,1
2016-10-20,Q,74.42,0.0,0
2016-10-21,Q,74.02,0.0,1
2016-10-22,Q,74.1933333333,0.0,0
2016-10-23,Q,74.3666666667,0.0,0
2016-10-24,Q,74.54,-0.999999000001,1
2016-10-25,Q,74.43,0.0,0
2016-10-26,Q,73.12,0.0,0
2016-10-27,Q,72.1,0.333333222222,1
2016-10-28,Q,71.77,0.0,0
2016-10-29,Q,71.76,0.0,0
2016-10-30,Q,71.75,0.0,0
2016-10-31,Q,71.74,-0.999999000001,1
2016-11-01,Q,71.66,0.999999666667,1
2016-11-02,Q,72.36,0.999999000001,1
2016-11-03,Q,72.21,0.0,1
2016-11-04,Q,72.59,0.0,1
2016-11-05,Q,73.2566666667,0.0,0
2016-11-06,Q,73.9233333333,0.0,0
2016-11-07,Q,74.59,0.0,0
2016-11-08,Q,75.94,0.0,1
2016-11-09,Q,77.68,0.0,1
2016-11-10,Q,78.34,-0.999999000001,1
2016-11-11,Q,77.13,0.0,0
2016-11-12,Q,77.05,0.0,0
2016-11-13,Q,76.97,0.0,0
2016-11-14,Q,76.89,0.0,0
2016-11-15,Q,77.94,0.0,1
2016-11-16,Q,77.31,0.0,0
2016-11-17,Q,79.48,0.0,0
2016-11-18,Q,79.88,0.0,0
2016-11-19,Q,79.9266666667,0.0,0
2016-11-20,Q,79.9733333333,0.0,0
2016-11-21,Q,80.02,0.0,1
2016-11-22,Q,80.2,0.9999995,1
2016-11-23,Q,79.87,0.0,0
2016-11-24,Q,80.22,0.0,0
2016-11-25,Q,80.57,0.0,0
2016-11-26,Q,80.32,0.0,0
2016-11-27,Q,80.07,0.0,0
2016-11-28,Q,79.82,0.0,0
2016-11-29,Q,80.93,0.0,0
2016-11-30,Q,76.83,0.0,1
2016-12-01,Q,73.0,-0.999999000001,1
2016-12-02,Q,74.03,0.0,1
2016-12-03,Q,74.5866666667,0.0,0
2016-12-04,Q,75.1433333333,0.0,0
2016-12-05,Q,75.7,0.0,0
2016-12-06,Q,77.58,0.0,1
2016-12-07,Q,76.93,0.0,1
2016-12-08,Q,77.54,-0.999999000001,1
2016-12-09,Q,78.34,0.0,1
2016-12-10,Q,78.6966666667,0.0,0
2016-12-11,Q,79.0533333333,0.0,1
2016-12-12,Q,79.41,0.0,0
